date,1. open,2. high,3. low,4. close,5. volume
2018-10-12,66.0,67.0,63.92,64.69,1071569.0
2018-10-15,65.0,66.34,63.44,65.14,738802.0
2018-10-16,66.23,71.3254,65.3634,70.3,1131548.0
2018-10-17,71.9,71.9231,67.98,70.53,665502.0
2018-10-18,69.61,70.24,67.3,68.79,891479.0
2018-10-19,70.19,70.79,64.42,65.04,1489306.0
2018-10-22,65.55,69.46,64.8619,69.14,669000.0
2018-10-23,67.18,71.71,66.21,71.26,1006190.0
2018-10-24,70.87,71.895,66.6501,66.99,1117912.0
2018-10-25,67.08,72.77,67.0,72.52,1081802.0
2018-10-26,68.87,73.3,68.25,71.26,1188640.0
2018-10-29,74.63,75.96,71.89,73.6,1394607.0
2018-10-30,74.0,77.77,71.43,77.29,1567285.0
2018-10-31,79.07,84.5,79.07,81.5,1659758.0
2018-11-01,81.5,81.99,77.6301,80.91,1068059.0
2018-11-02,80.5,81.2205,79.24,79.69,781580.0
2018-11-05,79.56,79.56,75.9,78.13,730660.0
2018-11-06,77.96,80.0,75.635,76.06,672453.0
2018-11-07,78.89,84.03,78.005,82.1,1500894.0
2018-11-08,82.72,85.78,80.68,81.35,1341892.0
2018-11-09,81.93,81.93,72.0,75.42,1671681.0
2018-11-12,74.4,74.4,68.33,69.83,1173856.0
2018-11-13,69.53,72.245,68.26,69.35,901663.0
2018-11-14,70.49,75.71,70.2961,71.82,1410167.0
2018-11-15,71.58,80.64,71.202,79.24,1463240.0
2018-11-16,78.74,84.5294,77.94,82.9,2037127.0
2018-11-19,82.18,82.6175,71.0522,73.25,1789324.0
2018-11-20,68.52,71.38,65.62,70.06,1820309.0
2018-11-21,73.09,75.48,70.6,73.95,937235.0
2018-11-23,72.67,77.68,72.0,76.12,511219.0
2018-11-26,78.5,80.77,76.5,80.56,1122507.0
2018-11-27,79.09,80.635,78.6395,79.55,559939.0
2018-11-28,80.81,84.79,80.28,83.99,1052496.0
2018-11-29,83.09,84.78,81.48,81.9,1324926.0
2018-11-30,83.34,84.95,79.32,82.9,1745009.0
2018-12-03,86.0,86.18,82.67,84.98,2137524.0
2018-12-04,83.68,88.27,82.14,83.73,2734957.0
2018-12-06,83.0,92.03,80.3,90.74,3475349.0
2018-12-07,90.26,93.23,82.72,84.35,1460642.0
2018-12-10,83.6,86.71,79.13,83.05,1538592.0
2018-12-11,85.645,86.18,83.5,85.15,849620.0
2018-12-12,86.76,92.76,86.76,89.06,1403792.0
2018-12-13,90.34,91.95,87.59,89.56,995823.0
2018-12-14,87.43,91.19,86.05,90.58,864585.0
2018-12-17,89.35,89.35,82.12,82.88,1822539.0
2018-12-18,84.35,86.5,82.201,84.39,1302931.0
2018-12-19,84.51,88.52,83.0208,85.55,1269982.0
2018-12-20,84.33,86.61,75.91,79.77,1934450.0
2018-12-21,80.53,80.825,70.1,72.95,2817830.0
2018-12-24,70.48,74.7962,70.11,71.78,627269.0
2018-12-26,72.86,79.85,72.86,79.69,979612.0
2018-12-27,77.78,83.41,77.0,82.29,851133.0
2018-12-28,83.45,83.5,78.78,80.5,1009741.0
2018-12-31,81.99,85.9998,81.99,83.74,1333705.0
2019-01-02,81.4,82.58,78.11,79.95,1325103.0
2019-01-03,77.7,79.5,75.0,75.89,1158030.0
2019-01-04,77.85,83.89,77.2951,81.73,1214961.0
2019-01-07,83.05,89.1999,82.75,85.7,1158958.0
2019-01-08,88.0,90.59,85.08,89.99,1414640.0
2019-01-09,89.1,89.5,84.36,86.62,1964742.0
2019-01-10,77.82,81.5,72.91,75.2,5915108.0
2019-01-11,75.2,78.24,73.57,74.48,1948233.0
2019-01-14,73.62,73.91,70.66,73.74,1560347.0
2019-01-15,73.86,78.74,73.8,78.4,1254695.0
2019-01-16,78.26,78.8744,73.85,74.05,1004176.0
2019-01-17,72.72,76.91,72.0,75.6,1001373.0
2019-01-18,76.09,80.57,76.09,80.34,1404233.0
2019-01-22,78.85,81.925,77.74,81.23,927988.0
2019-01-23,82.0,86.22,81.68,84.09,1408961.0
2019-01-24,83.82,84.87,83.25,84.27,671487.0
2019-01-25,84.9,87.09,83.3,86.9,808960.0
2019-01-28,84.35,88.85,84.13,88.39,786736.0
2019-01-29,88.56,89.47,86.81,86.99,920548.0
2019-01-30,88.06,89.88,86.51,88.19,662765.0
2019-01-31,88.5,92.62,88.305,92.36,1033927.0
2019-02-01,91.02,93.23,88.35,92.67,690409.0
2019-02-04,92.87,96.68,92.46,95.27,1022705.0
2019-02-05,96.13,97.48,94.7,97.09,821146.0
2019-02-06,97.73,98.2543,93.25,95.07,851483.0
2019-02-07,93.85,96.5135,92.78,95.87,582606.0
2019-02-08,94.61,98.9,94.0001,98.35,584177.0
2019-02-11,99.21,99.89,97.02,99.29,584981.0
